runId,runtimeVariant,service,workFactor,endpointMode,payloadSize,concurrency,repeats,requestsPerSecondMean,requestsPerSecondMedian,requestsPerSecondMin,requestsPerSecondMax,p50NanosMedian,p95NanosMedian,p99NanosMedian,p999NanosMedian,failuresTotal
sequential_generated_graal_20260528_1218,graalvm-native,helidon,10,generated,128,12,2,27168.24,27168.24,25493.88,28842.59,337924,1026583,2369232,7719748,0
sequential_generated_graal_20260528_1218,graalvm-native,helidon,10,generated,128,24,2,44231.28,44231.28,41688.95,46773.61,395039,1519908,3041587,7954356,0
sequential_generated_graal_20260528_1218,graalvm-native,helidon,10,generated,128,48,2,61035.91,61035.91,55606.40,66465.42,529598,2452487,4498611,8899684,0
sequential_generated_graal_20260528_1218,graalvm-native,helidon,10,generated,128,96,2,74001.57,74001.57,64060.54,83942.61,875514,4223188,7076994,12929259,0
sequential_generated_graal_20260528_1218,graalvm-native,helidon,10,generated,128,192,2,79302.20,79302.20,72766.34,85838.05,1652076,7547879,11756127,18686059,0
sequential_generated_graal_20260528_1218,graalvm-native,helidon,10,generated,2048,1,2,3153.24,3153.24,3140.00,3166.49,285868,460902,872153,2333843,0
sequential_generated_graal_20260528_1218,graalvm-native,helidon,10,generated,2048,6,2,16882.10,16882.10,16687.79,17076.40,322607,588659,1080856,2306701,0
sequential_generated_graal_20260528_1218,graalvm-native,helidon,10,generated,2048,12,2,24337.51,24337.51,23153.15,25521.88,403925,1059247,2124928,5517271,0
sequential_generated_graal_20260528_1218,graalvm-native,helidon,10,generated,2048,24,2,25446.69,25446.69,24180.01,26713.38,644219,2637357,6185694,15260977,0
sequential_generated_graal_20260528_1218,graalvm-native,helidon,10,generated,2048,48,2,39429.93,39429.93,31804.32,47055.53,907222,3516047,6580348,18154471,0
sequential_generated_graal_20260528_1218,graalvm-native,helidon,10,generated,2048,96,2,45383.99,45383.99,45013.63,45754.36,1572387,6028977,9254792,15312587,0
sequential_generated_graal_20260528_1218,graalvm-native,helidon,10,generated,2048,192,2,52324.78,52324.78,49313.66,55335.90,2788123,10197403,15013480,25502929,0
sequential_generated_graal_20260528_1218,graalvm-native,helidon,10,generated,8192,1,2,2656.53,2656.53,2515.45,2797.62,348221,520863,792066,1671467,0
sequential_generated_graal_20260528_1218,graalvm-native,helidon,10,generated,8192,6,2,10309.11,10309.11,9015.09,11603.14,461002,1152807,2719010,9727098,0
sequential_generated_graal_20260528_1218,graalvm-native,helidon,10,generated,8192,12,2,12154.37,12154.37,11221.04,13087.69,716723,2330647,5956572,16952199,0
sequential_generated_graal_20260528_1218,graalvm-native,helidon,10,generated,8192,24,2,18090.22,18090.22,16153.75,20026.69,1088689,3195252,5413409,10609310,0
sequential_generated_graal_20260528_1218,graalvm-native,helidon,10,generated,8192,48,2,16976.09,16976.09,16330.63,17621.55,2271051,7171884,11304896,19846385,0
sequential_generated_graal_20260528_1218,graalvm-native,helidon,10,generated,8192,96,2,22798.39,22798.39,22244.65,23352.12,3811711,9498563,13619746,20536414,0
sequential_generated_graal_20260528_1218,graalvm-native,helidon,10,generated,8192,192,2,24675.50,24675.50,24345.49,25005.51,7130493,16989259,23614839,31368390,0
